م,اسم الطبق (عربي),اسم الوجبة (إنجليزي),الدولة,المكونات لـ 4 أفراد,مستوى السهولة,مستوى التكلفة,يحتوي على بروتين,ملاحظة التوافق الشرعي
1,بيتزا مارجريتا,Margherita Pizza,إيطاليا,عجينة بيتزا، صلصة طماطم، جبنة موزاريلا، ريحان,متوسط,متوسط,لا,حلال (بدون خمور أو خنزير)
2,باستا كاربونارا (بديل حلال),Chicken Carbonara,إيطاليا,مكرونة، دجاج مقطع بدل اللحم المقدد، كريمة، بيض، جبنة بارميزان,متوسط,متوسط,نعم,استبدال اللحم المقدد بدجاج
3,لازانيا,Lasagna,إيطاليا,رقائق لازانيا، لحمة مفرومة، بشاميل، جبنة,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
4,ريزوتو بالفطر,Mushroom Risotto,إيطاليا,أرز أربوريو، فطر، مرقة خضار، جبنة بارميزان,متوسط,متوسط,لا,حلال (بدون خمور أو خنزير)
5,أوسو بوكو (بديل حلال),Osso Buco (halal beef),إيطاليا,لحم بقري مكعبات، طماطم، جزر، مرقة لحم بدل النبيذ,صعب,مرتفع,نعم,استبدال النبيذ بمرقة لحم
6,موساكا,Moussaka,اليونان,باذنجان، لحمة مفرومة، بشاميل، طماطم,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
7,سوفلاكي دجاج,Chicken Souvlaki,اليونان,صدور دجاج، ليمون، ثوم، زعتر، خبز بيتا,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
8,جيروس لحمة,Beef Gyros,اليونان,لحمة بتلو، بصل، طماطم، خبز بيتا، صوص تزاتزيكي,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
9,باييا دجاج وجمبري,Chicken and Shrimp Paella,إسبانيا,أرز، دجاج، جمبري، زعفران، فلفل رومي,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
10,توتيا إسبانية (أومليت بطاطس),Spanish Tortilla,إسبانيا,بطاطس، بيض، بصل، زيت زيتون,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
11,جازباتشو,Gazpacho,إسبانيا,طماطم، خيار، فلفل، ثوم، زيت زيتون,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
12,راتاتوي,Ratatouille,فرنسا,باذنجان، كوسة، فلفل، طماطم، ثوم,متوسط,منخفض,لا,حلال (بدون خمور أو خنزير)
13,كوك أوفان (بديل حلال بدون نبيذ),Coq au Vin (halal chicken stew),فرنسا,دجاج، فطر، جزر، مرقة دجاج بدل النبيذ,متوسط,متوسط,نعم,استبدال النبيذ بمرقة دجاج وخل
